,,,,,,,,,Inspection information,,,,,,
Children's home,24/02/2012,Active,West Midlands,West Midlands,Sandwell,Halesowen and Rowley Regis,Private,Progress Children's Services,Full inspection,22/01/2019,13/02/2019,10050411,Good,Good,Good
Children's home,08/02/2012,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Private,The Partnership of Care Today Children's Services,Full inspection,23/07/2018,09/08/2018,10050406,Good,Good,Good
Children's home,03/01/2012,Active,East Midlands,East Midlands,Leicestershire,Harborough,Private,Inspirations Leicestershire Ltd,Full inspection,07/08/2018,30/08/2018,10050395,Outstanding,Outstanding,Outstanding
Independent Fostering Agency,07/12/2011,Active,East of England,East of England,Suffolk,South Suffolk,Private,Eastern Family Services Ltd,Full inspection,16/07/2018,13/08/2018,10045658,Good,Good,Requires improvement to be good
Children's home,30/12/2011,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,MGM Care Services Ltd,Full inspection,07/08/2018,12/09/2018,10050394,Good,Good,Requires improvement to be good
Independent Fostering Agency,19/01/2012,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Private,Fostering Dimensions Limited,Full inspection,13/08/2018,07/09/2018,10045617,Good,Good,Good
Children's home,01/11/2011,Active,South East,South East,Windsor and Maidenhead,Maidenhead,Private,Keys Childcare Ltd,Full inspection,13/11/2018,30/11/2018,10050384,Good,Good,Good
Children's home,14/12/2011,Active,South East,South East,Kent,South Thanet,Private,Benecare Limited,Full inspection,18/02/2019,28/03/2019,10050392,Good,Good,Good
Children's home,24/10/2011,Active,East of England,East of England,Cambridgeshire,Huntingdon,Voluntary,Action For Children,Full inspection,05/12/2018,28/12/2018,10050382,Good,Good,Requires improvement to be good
Children's home,24/10/2011,Active,East of England,East of England,Cambridgeshire,Huntingdon,Voluntary,Action For Children,Interim inspection,21/02/2019,12/03/2019,10051610,Sustained effectiveness,,
Children's home,24/10/2011,Active,East of England,East of England,Cambridgeshire,Cambridge,Voluntary,Action For Children,Interim inspection,08/01/2019,28/01/2019,10051611,Sustained effectiveness,,
Children's home,24/10/2011,Active,East of England,East of England,Cambridgeshire,Cambridge,Voluntary,Action For Children,Full inspection,23/05/2018,18/06/2018,10050383,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,02/12/2011,Active,East of England,East of England,Southend on Sea,Rochford and Southend East,Private,Potton Homes Ltd,Full inspection,03/01/2019,24/01/2019,10050388,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/01/2012,Active,North West,North West,Trafford,Altrincham and Sale West,Private,Aspireone Care Ltd,Full inspection,17/10/2018,05/11/2018,10050398,Outstanding,Outstanding,Outstanding
Children's home,01/02/2012,Active,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Voluntary,Break,Full inspection,20/02/2019,12/03/2019,10050401,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,20/02/2012,Active,South East,South East,Kent,Faversham and Mid Kent,Local Authority,Kent County Council,Full inspection,06/03/2019,26/03/2019,10050410,Good,Good,Good
Children's home,09/12/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Pebbles Care,Full inspection,10/07/2018,21/09/2018,10050390,Inadequate,Inadequate,Inadequate
Children's home,09/12/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Pebbles Care,Full inspection,23/10/2018,16/11/2018,10078803,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,09/12/2011,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Pebbles Care,Monitoring inspection,14/09/2018,08/10/2018,10078632,,,
Residential Family Centre,08/02/2012,Active,London,London,Barnet,Chipping Barnet,Private,Ty Connections Limited,Full inspection,13/06/2018,20/07/2018,10045743,Good,Good,Good
Children's home,31/01/2012,Active,East Midlands,East Midlands,Derbyshire,High Peak,Local Authority,Derbyshire County Council,Full inspection,10/10/2018,29/10/2018,10050400,Outstanding,Outstanding,Outstanding
Children's home,22/05/2012,Active,North West,North West,Cumbria,Penrith and The Border,Private,Active Ark Limited,Full inspection,25/09/2018,08/11/2018,10050435,Outstanding,Good,Good
Residential Family Centre,14/02/2012,Active,North West,North West,Lancashire,Burnley,Private,Kaleidoscope Assessment Services Limited,Full inspection,12/06/2018,03/07/2018,10045744,Good,Good,Good
Children's home,20/01/2012,Active,West Midlands,West Midlands,Staffordshire,South Staffordshire,Private,Horizon Care Limited,Full inspection,14/06/2018,06/07/2018,10050399,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,10/05/2012,Resigned,West Midlands,West Midlands,Staffordshire,Stone,Private,Educare Adolescent Services Limited,Full inspection,10/05/2018,05/06/2018,10050432,Good,Good,Good
Children's home,04/01/2012,Active,North West,North West,Lancashire,Ribble Valley,Local Authority,Lancashire County Council,Full inspection,08/01/2019,10/04/2019,10050396,Outstanding,Good,Good
Children's home,13/01/2012,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Bryn Melyn Care Limited,Full inspection,18/07/2018,22/08/2018,10050397,Good,Requires improvement to be good,Good
Children's home,02/02/2012,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Inspire Childrens Services Limited,Full inspection,18/12/2018,10/01/2019,10050403,Good,Good,Good
Adoption Support Agency,10/02/2012,Active,London,London,Kensington and Chelsea,Kensington,Voluntary,The Catholic Children's Society (Westminster),Full inspection,18/09/2018,19/10/2018,10046720,Outstanding,Outstanding,Outstanding
Children's home,02/02/2012,Active,East Midlands,East Midlands,Derbyshire,High Peak,Local Authority,Derbyshire County Council,Full inspection,13/06/2018,03/07/2018,10050404,Outstanding,Outstanding,Outstanding
Children's home,08/03/2012,Active,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,Priory Education Services Limited,Full inspection,22/05/2018,11/06/2018,10050414,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,08/03/2012,Active,West Midlands,West Midlands,Worcestershire,West Worcestershire,Private,Priory Education Services Limited,Interim inspection,23/01/2019,06/02/2019,10051614,Sustained effectiveness,,
Children's home,03/02/2012,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby,Local Authority,North East Lincolnshire Council,Full inspection,28/02/2019,28/03/2019,10050405,Outstanding,Good,Good
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Interim inspection,03/12/2018,27/12/2018,10051630,Not judged,,
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Monitoring inspection,25/06/2018,24/07/2018,10055816,,,
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Monitoring inspection,27/04/2018,17/05/2018,10054122,,,
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Full inspection,19/06/2018,09/07/2018,10050476,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Monitoring inspection,12/09/2018,02/10/2018,10078182,,,
Children's home,12/11/2012,Cancelled,West Midlands,West Midlands,Birmingham,;Birmingham, Perry Barr;,Private,Aspire Residential Care Home Ltd,Monitoring inspection,25/10/2018,22/11/2018,10080951,,,
Children's home,10/04/2012,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Partners in Care Limited,Full inspection,19/04/2018,22/05/2018,10050426,Good,Good,Good
Children's home,10/04/2012,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Partners in Care Limited,Monitoring inspection,21/03/2019,12/04/2019,10096218,,,
Children's home,10/04/2012,Active,North West,North West,Lancashire,Rossendale and Darwen,Private,Partners in Care Limited,Interim inspection,08/02/2019,28/03/2019,10051618,Declined effectiveness,,
Children's home,29/07/2012,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Voluntary,Shyne Together Limited,Monitoring inspection,14/01/2019,01/02/2019,10086491,,,
Children's home,29/07/2012,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Voluntary,Shyne Together Limited,Monitoring inspection,28/11/2018,18/12/2018,10084129,,,
Children's home,29/07/2012,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Voluntary,Shyne Together Limited,Interim inspection,16/10/2018,09/11/2018,10051624,Declined effectiveness,,
Children's home,29/07/2012,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Voluntary,Shyne Together Limited,Full inspection,03/07/2018,25/07/2018,10050450,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,29/07/2012,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Voluntary,Shyne Together Limited,Monitoring inspection,12/04/2018,21/05/2018,10052086,,,
Children's home,13/04/2012,Active,North West,North West,Cumbria,Carlisle,Private,A Wilderness Way Ltd,Full inspection,30/01/2019,25/04/2019,10050427,Good,Good,Good
Independent Fostering Agency,11/05/2012,Active,London,London,Brent,Brent North,Private,Parent and Child Fostering Service,Full inspection,23/04/2018,17/05/2018,10046835,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,15/03/2012,Active,North West,North West,Lancashire,Pendle,Private,Roc Northwest Ltd,Full inspection,06/02/2019,08/03/2019,10050417,Good,Good,Good
Children's home,15/03/2012,Active,North West,North West,Lancashire,Burnley,Private,Roc Northwest Ltd,Full inspection,07/11/2018,07/12/2018,10050418,Outstanding,Good,Good
Children's home,19/03/2012,Active,North West,North West,Warrington,Warrington North,Local Authority,Warrington Borough Council,Full inspection,30/01/2019,26/02/2019,10050421,Outstanding,Outstanding,Outstanding
Children's home,05/03/2012,Active,North West,North West,Warrington,Warrington North,Local Authority,Warrington Borough Council,Full inspection,07/08/2018,31/08/2018,10050412,Good,Requires improvement to be good,Good
Children's home,05/03/2012,Active,North West,North West,Warrington,Warrington North,Local Authority,Warrington Borough Council,Full inspection,04/12/2018,04/01/2019,10050413,Outstanding,Outstanding,Outstanding
Independent Fostering Agency,06/02/2012,Active,West Midlands,West Midlands,Worcestershire,Mid Worcestershire,Private,Match Foster Care Limited,Full inspection,04/03/2019,25/04/2019,10045717,Good,Good,Good
Children's home,09/03/2012,Active,North West,North West,Rochdale,Rochdale,Private,Meadows Care Ltd,Full inspection,05/06/2018,26/06/2018,10050415,Good,Good,Good
Children's home,15/03/2012,Active,;North East, Yorkshire and the Humber;,North East,Stockton-on-Tees,Stockton North,Local Authority,Stockton on Tees Borough Council,Full inspection,22/01/2019,27/02/2019,10050419,Outstanding,Outstanding,Outstanding
Children's home,21/05/2012,Active,East of England,East of England,Suffolk,West Suffolk,Private,Barnardiston Hall Preparatory School Limited,Monitoring inspection,10/12/2018,24/12/2018,10084555,,,
Children's home,21/05/2012,Active,East of England,East of England,Suffolk,West Suffolk,Private,Barnardiston Hall Preparatory School Limited,Monitoring inspection,03/01/2019,17/01/2019,10084556,,,
Children's home,21/05/2012,Active,East of England,East of England,Suffolk,West Suffolk,Private,Barnardiston Hall Preparatory School Limited,Full inspection,05/02/2019,25/02/2019,10051619,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,21/05/2012,Active,East of England,East of England,Suffolk,West Suffolk,Private,Barnardiston Hall Preparatory School Limited,Full inspection,05/11/2018,27/11/2018,10050434,Inadequate,Inadequate,Inadequate
Children's home,10/02/2012,Active,London,London,Hammersmith and Fulham,Hammersmith,Local Authority,London Borough of Hammersmith & Fulham,Full inspection,09/07/2018,08/08/2018,10050407,Good,Good,Good
Children's home,13/08/2012,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Physis Quantum Limited,Full inspection,17/10/2018,29/11/2018,10050454,Outstanding,Outstanding,Outstanding
Children's home,09/05/2012,Active,North West,North West,Cumbria,Westmorland and Lonsdale,Private,ABC Care and Education Ltd,Full inspection,10/01/2019,04/03/2019,10050431,Good,Good,Good
Children's home,03/05/2012,Active,North West,North West,Lancashire,Preston,Private,Priory New Education Services Limited 07221650,Full inspection,09/05/2018,04/06/2018,10050430,Outstanding,Outstanding,Outstanding
Children's home,16/03/2012,Active,East of England,East of England,Hertfordshire,Watford,Local Authority,Hertfordshire County Council,Full inspection,27/07/2018,22/08/2018,10050420,Outstanding,Outstanding,Outstanding
Children's home,03/07/2012,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,Pear Tree Projects Limited,Full inspection,05/02/2019,27/02/2019,10050442,Outstanding,Outstanding,Outstanding
